"%d images allowed at most. The maximum size of each image is %s.","最多允許上傳%d張圖片；請上傳小於%s的圖片"
"%d images allowed at most.","最多允許上傳%d張圖片"
"The post published failure","帖子發布失敗"
"%s just followed you","%s 剛剛關註了你"
"Your post %s just canceled liked by %s","你的帖子 %s 剛剛被 %s 取消點贊"
"Your post %s just liked by %s","你的帖子 %s 剛剛被 %s 取消點贊了"
"Your post %s just cancelled favorited by %s","你的帖子 %s 剛剛被 %s 取消收藏了"
"Your post %s just favorited by %s","你的帖子 %s 剛剛被 %s 收藏了"
"Your post %s just has been reviewed by %s","你的帖子 %s 剛剛收到了來自 %s 的留言"
"Your review just has been replied by %s in %s","你的留言 %s 剛剛回復在 %s "
"Post Quick Edit","帖子快速更新"
"Post Statistics","帖子統計"
"Explore","發現"
"Posts","帖子"
"Blogger","博主"
"Subscribed List","已訂閱列表"
